#-----------------------------------------------------------------------
# Use this file to give meaning to your trained ONNX models.
#-----------------------------------------------------------------------
# Desc:
#   
#-----------------------------------------------------------------------
# NOTE:
#   Last 9 floats are X,Y,Z columns defining orientation of DCM.
#-----------------------------------------------------------------------
# Generated in YOLO_MetaInfo.h/.cpp at 2025.Jan.20_16.30.41.7383447.UTC
#-----------------------------------------------------------------------

yolo_image_size,864
yolo_num_classes,94

#yid,oid,fid,x,y,z
0, GIII_001, ft_0, -5.13156986, 1.92839503, -0.82139504, 1,0,0,0,1,0,0,0,1
1, GIII_002, ft_0, -5.08798981, -1.92965996, -0.784882009, 1,0,0,0,1,0,0,0,1
2, GIII_003, ft_0, -9.93417549, -0.0313523486, -0.905744493, 1,0,0,0,1,0,0,0,1
3, GIII_004, ft_0, -9.13624954, -0.0294030011, -1.268085, 1,0,0,0,1,0,0,0,1
4, GIII_005, ft_0, -8.37405014, -0.008100003, -1.47317505, 1,0,0,0,1,0,0,0,1
5, GIII_006, ft_0, -7.04872036, 0.00649700314, -1.79614997, 1,0,0,0,1,0,0,0,1
6, GIII_007, ft_0, -5.30730009, 0.0161935017, -2.14576483, 1,0,0,0,1,0,0,0,1
7, GIII_007, ft_0, -2.87100005, 0.0885219947, -2.52356505, 1,0,0,0,1,0,0,0,1
8, GIII_008, ft_0, -1.30994403, 0.0679814965, -2.70065999, 1,0,0,0,1,0,0,0,1
9, GIII_009, ft_0, -0.272705019, 0.0519464985, -2.78272009, 1,0,0,0,1,0,0,0,1
10, GIII_010, ft_0, -9.41758537, 0.187644005, -0.966518998, 1,0,0,0,1,0,0,0,1
11, GIII_011, ft_0, -8.45754528, 0.389986992, -1.02519453, 1,0,0,0,1,0,0,0,1
12, GIII_012, ft_0, -7.57349491, 0.380795002, -1.49388504, 1,0,0,0,1,0,0,0,1
13, GIII_013, ft_0, -6.24545479, 0.399597526, -1.84482002, 1,0,0,0,1,0,0,0,1
14, GIII_014, ft_0, -4.1924901, 0.457762003, -2.211375, 1,0,0,0,1,0,0,0,1
15, GIII_015, ft_0, -2.01706004, 0.676280975, -2.55155993, 1,0,0,0,1,0,0,0,1
