#-----------------------------------------------------------------------
# Use this file to give meaning to your trained ONNX models.
#-----------------------------------------------------------------------
# Desc:
#   
#-----------------------------------------------------------------------
# NOTE:
#   
#-----------------------------------------------------------------------
              
yolo_image_size,864
yolo_num_classes,98

#yid,oid,fid,x,y,z
0, p_001, d_0, 0.07636075, 0.2742465, -0.16002650000000002,1,0,0,0,1,0,0,0,1
1, p_002, d_0, 0.1210135, 0.254185, -0.210392,1,0,0,0,1,0,0,0,1
2, p_003, d_0, 0.08184995, 0.207308, -0.2110995,1,0,0,0,1,0,0,0,1
3, p_004, d_0, 0.0553379, 0.221329, -0.158274,1,0,0,0,1,0,0,0,1
4, p_005, d_0, 0.1308215, 0.1716805, -0.1124802,1,0,0,0,1,0,0,0,1
5, p_006, d_0, 0.1559315, 0.2296335, -0.10979645,1,0,0,0,1,0,0,0,1
6, p_007, d_0, 0.18936150000000002, 0.2276535, -0.163828,1,0,0,0,1,0,0,0,1
7, p_008, d_0, 0.1609805, 0.1571545, -0.168549,1,0,0,0,1,0,0,0,1
8, p_009, d_0, 0.1990925, 0.13745895, -0.07063295,1,0,0,0,1,0,0,0,1
9, p_010, d_0, 0.229296, 0.19174400000000003, -0.07165145,1,0,0,0,1,0,0,0,1
10, p_011, d_0, 0.253235, 0.175985, -0.12516405,1,0,0,0,1,0,0,0,1
11, p_012, d_0, 0.2240905, 0.12025645, -0.13447199999999998,1,0,0,0,1,0,0,0,1
12, p_013, d_0, 0.27202, 0.0824587, -0.02136233,1,0,0,0,1,0,0,0,1
13, p_014, d_0, 0.311735, 0.1269185, -0.017095585,1,0,0,0,1,0,0,0,1
14, p_015, d_0, 0.3372915, 0.130384, -0.07467080000000001,1,0,0,0,1,0,0,0,1
15, p_016, d_0, 0.3280275, 0.0860079, -0.0957698,1,0,0,0,1,0,0,0,1
16, p_017, d_0, 0.2760085, 0.0659351, -0.0791072,1,0,0,0,1,0,0,0,1
17, p_018, d_0, 0.3530695, 0.05085565, 0.03669165,1,0,0,0,1,0,0,0,1
18, p_019, d_0, 0.4004615, 0.08985515, 0.005208999999999998,1,0,0,0,1,0,0,0,1
19, p_020, d_0, 0.41026850000000004, 0.0563831, -0.04629325,1,0,0,0,1,0,0,0,1
20, p_021, d_0, 0.358364, 0.013700442, -0.022310255,1,0,0,0,1,0,0,0,1
21, p_022, d_0, 0.441631, 0.0310497, 0.07774924999999999,1,0,0,0,1,0,0,0,1
22, p_023, d_0, 0.4262085, -0.023729385, 0.06667135,1,0,0,0,1,0,0,0,1
23, p_024, d_0, 0.4477065, -0.03127865, 0.00537681,1,0,0,0,1,0,0,0,1
24, p_025, d_0, 0.5049265000000001, 0.02365107, 0.030574785,1,0,0,0,1,0,0,0,1
25, p_026, d_0, 0.5284044999999999, 0.005702950000000001, 0.09541115,1,0,0,0,1,0,0,0,1
26, p_027, d_0, 0.4958285, -0.03628355, 0.1203535,1,0,0,0,1,0,0,0,1
27, p_028, d_0, 0.495556, -0.0808354, 0.0751095,1,0,0,0,1,0,0,0,1
28, p_029, d_0, 0.546629, -0.0483666, 0.0427036,1,0,0,0,1,0,0,0,1
29, p_030, d_0, 0.5955675, -0.0753421, 0.06611825,1,0,0,0,1,0,0,0,1
30, p_031, d_0, 0.6072845, -0.0407963, 0.10812574999999999,1,0,0,0,1,0,0,0,1
31, p_032, d_0, 0.5668965, -0.0650044, 0.157631,1,0,0,0,1,0,0,0,1
32, p_033, d_0, 0.553946, -0.1137106, 0.1200181,1,0,0,0,1,0,0,0,1
33, p_034, d_0, 0.6039525, -0.1257215, 0.17979050000000002,1,0,0,0,1,0,0,0,1
34, p_035, d_0, 0.626602, -0.160738, 0.1286755,1,0,0,0,1,0,0,0,1
35, p_036, d_0, 0.6609155, -0.11804799999999999, 0.1109944,1,0,0,0,1,0,0,0,1
36, p_037, d_0, 0.6687395, -0.0789166, 0.156971,1,0,0,0,1,0,0,0,1
37, p_038, d_0, 0.671192, -0.1190245, 0.216976,1,0,0,0,1,0,0,0,1
38, p_039, d_0, 0.6593475, -0.1781385, 0.2068865,1,0,0,0,1,0,0,0,1
39, p_040, d_0, 0.7080405000000001, -0.18613449999999998, 0.14900000000000002,1,0,0,0,1,0,0,0,1
40, p_041, d_0, 0.726219, -0.118879, 0.1657865,1,0,0,0,1,0,0,0,1
41, p_042, d_0, 0.7532175, -0.137697, 0.226736,1,0,0,0,1,0,0,0,1
42, p_043, d_0, 0.7167435, -0.19189250000000002, 0.249334,1,0,0,0,1,0,0,0,1
43, p_044, d_0, 0.7337035000000001, -0.22948849999999998, 0.205372,1,0,0,0,1,0,0,0,1
44, p_045, d_0, 0.7815570000000001, -0.1933785, 0.17603649999999998,1,0,0,0,1,0,0,0,1
45, p_046, d_0, 0.7778415000000001, -0.218491, 0.2709925,1,0,0,0,1,0,0,0,1
46, p_047, d_0, 0.8049660000000001, -0.1717225, 0.2550695,1,0,0,0,1,0,0,0,1
47, p_048, d_0, 0.827858, -0.17625249999999998, 0.201029,1,0,0,0,1,0,0,0,1
48, p_049, d_0, 0.78882, -0.2510435, 0.21646100000000001,1,0,0,0,1,0,0,0,1
49, p_050, d_0, 0.8500175, -0.22645200000000001, 0.27906,1,0,0,0,1,0,0,0,1
50, p_051, d_0, 0.848499, -0.267685, 0.2381875,1,0,0,0,1,0,0,0,1
51, p_052, d_0, 0.856703, -0.2360955, 0.190975,1,0,0,0,1,0,0,0,1
52, p_053, d_0, 0.8848225000000001, -0.181664, 0.22691299999999998,1,0,0,0,1,0,0,0,1
53, p_054, d_0, 0.929541, -0.22995949999999998, 0.27543850000000003,1,0,0,0,1,0,0,0,1
54, p_055, d_0, 0.925365, -0.283953, 0.238817,1,0,0,0,1,0,0,0,1
55, p_056, d_0, 0.9325215, -0.25333649999999996, 0.188784,1,0,0,0,1,0,0,0,1
56, p_057, d_0, 0.9605845, -0.19811050000000002, 0.227205,1,0,0,0,1,0,0,0,1
57, p_058, d_0, 1.0147535, -0.250357, 0.27257549999999997,1,0,0,0,1,0,0,0,1
58, p_059, d_0, 1.004297, -0.2962575, 0.2356335,1,0,0,0,1,0,0,0,1
59, p_060, d_0, 1.0209285000000001, -0.244137, 0.1995675,1,0,0,0,1,0,0,0,1
60, p_061, d_0, 1.048645, -0.2145535, 0.233097,1,0,0,0,1,0,0,0,1
61, p_062, d_0, 1.1132849999999999, -0.2685875, 0.273033,1,0,0,0,1,0,0,0,1
62, p_063, d_0, 1.08793, -0.3204365, 0.234026,1,0,0,0,1,0,0,0,1
63, p_064, d_0, 1.11856, -0.265532, 0.189865,1,0,0,0,1,0,0,0,1
64, p_065, d_0, 1.1306, -0.230606, 0.23085,1,0,0,0,1,0,0,0,1
65, p_066, d_0, 1.19902, -0.2915635, 0.2731555,1,0,0,0,1,0,0,0,1
66, p_067, d_0, 1.190645, -0.3361015, 0.2308675,1,0,0,0,1,0,0,0,1
67, p_068, d_0, 1.204195, -0.278437, 0.199125,1,0,0,0,1,0,0,0,1
68, p_069, d_0, 1.21362, -0.251337, 0.2262955,1,0,0,0,1,0,0,0,1
69, p_070, d_0, 1.2760950000000002, -0.305525, 0.270107,1,0,0,0,1,0,0,0,1
